lemma,upos,verb_form,case_counts,example_wordform,count
четвёртый,ADJ,,Acc:4|Gen:3|Nom:1,четвёртого,8
спортивный,ADJ,,Gen:2|Ins:1|Loc:1|Nom:4,спортивные,8
назвать,VERB,Fin,,назвали,8
доступность,NOUN,,Acc:1|Gen:3|Nom:4,доступности,8
символ,NOUN,,Acc:1|Gen:3|Nom:4,символов,8
выходной,ADJ,,Acc:3|Dat:2|Gen:1|Ins:1|Nom:1,выходных,8
путешествие,NOUN,,Acc:1|Gen:3|Ins:1|Nom:3,путешествие,8
лично,ADV,,,лично,8
раковина,NOUN,,Acc:2|Dat:1|Ins:3|Loc:2,раковиной,8
заметить,VERB,Inf,,заметить,8
мешать,VERB,Fin,,мешает,8
понимание,NOUN,,Acc:1|Gen:2|Ins:2|Nom:3,понимания,8
понятие,NOUN,,Acc:2|Gen:3|Nom:3,понятия,8
оценить,VERB,Inf,,оценить,8
туман,NOUN,,Ins:2|Nom:6,Туман,8
достаточно,ADV,,,достаточно,8
как-то,ADV,,,как-то,8
институт,NOUN,,Gen:4|Loc:2|Nom:2,институтов,8
клуб,NOUN,,Acc:4|Gen:2|Loc:1|Nom:1,клубы,8
планировать,VERB,Fin,,планирует,8
уточнить,VERB,Inf,,уточнить,8
комиссия,NOUN,,Acc:2|Gen:2|Ins:1|Nom:3,комиссией,8
подъезд,NOUN,,Acc:1|Dat:1|Gen:2|Loc:3|Nom:1,подъезд,8
лекция,NOUN,,Acc:1|Gen:2|Ins:1|Loc:3|Nom:1,лекцией,8
правительство,NOUN,,Acc:1|Gen:4|Nom:3,правительства,8
сад,NOUN,,Acc:2|Gen:2|Loc:1|Nom:3,сады,8
занятость,NOUN,,Acc:4|Gen:3|Loc:1,занятость,8
инфраструктура,NOUN,,Acc:2|Gen:2|Ins:2|Nom:2,инфраструктурой,8
переезд,NOUN,,Acc:2|Gen:1|Ins:2|Nom:3,переезды,8
редкий,ADJ,,Gen:1|Ins:2|Nom:5,редким,8
квитанция,NOUN,,Acc:3|Gen:1|Loc:2|Nom:2,квитанцию,8
электричество,NOUN,,Acc:3|Gen:3|Nom:2,электричество,8
недавно,ADV,,,недавно,8
ведь,PART,,,ведь,8
знакомый,NOUN,,Dat:2|Gen:4|Nom:2,знакомых,8
резко,ADV,,,резко,8
ранний,ADJ,,Acc:1|Dat:1|Loc:3|Nom:3,ранних,8
торговля,NOUN,,Acc:2|Dat:1|Gen:2|Loc:1|Nom:2,торговлю,8
понедельник,NOUN,,Acc:5|Gen:3,понедельника,8
подряд,ADV,,,подряд,8
овощ,NOUN,,Acc:3|Gen:4|Ins:1,овощей,8
генеративный,ADJ,,Gen:4|Ins:1|Nom:3,генеративным,8
настаивать,VERB,Fin,,настаивают,8
радость,NOUN,,Acc:1|Gen:3|Ins:1|Nom:3,радости,8
дальний,ADJ,,Gen:1|Ins:2|Loc:5,дальнем,8
против,ADP,,,против,8
полка,NOUN,,Acc:1|Gen:2|Ins:1|Loc:4,полках,8
иностранный,ADJ,,Acc:3|Gen:1|Loc:2|Nom:2,иностранных,8
платить,VERB,Inf,,платить,8
пункт,NOUN,,Acc:2|Gen:5|Nom:1,пункта,8
непростой,ADJ,,Ins:1,непросто,8
произойти,VERB,Fin,,произошли,8
состоять,VERB,Fin,,состоит,8
пользоваться,VERB,Inf,,пользоваться,8
дерево,NOUN,,Acc:1|Dat:2|Gen:4|Nom:1,деревьев,8
пустой,ADJ,,Acc:3|Ins:2|Nom:1,пустые,8
читать,VERB,Inf,,читать,8
правый,ADJ,,Acc:1|Dat:1|Ins:3,правы,8
лекарство,NOUN,,Acc:4|Gen:1|Ins:1|Loc:1|Nom:1,лекарства,8
признак,NOUN,,Dat:2|Gen:4|Ins:1|Loc:1,признаку,8
выбрать,VERB,Fin,,Выбрал,8
продолжаться,VERB,Fin,,продолжаются,8
стих,NOUN,,Acc:2|Loc:1|Nom:5,стихи,8
узнавать,VERB,Fin,,узнаются,8
однозначно,ADV,,,однозначно,8
монтаж,NOUN,,Acc:1|Gen:3|Ins:1|Nom:3,монтажа,8
поздний,ADJ,,Acc:2|Dat:2|Gen:1|Ins:1|Nom:2,позднейшим,8
оформление,NOUN,,Acc:1|Dat:2|Gen:3|Ins:1|Loc:1,оформлению,8
художественный,ADJ,,Gen:5|Ins:1|Nom:2,художественных,8
ставка,NOUN,,Acc:3|Gen:2|Nom:3,ставка,8
плотный,ADJ,,Acc:1|Gen:2|Ins:1|Nom:4,плотная,8
давать,VERB,Inf,,давать,8
светлый,ADJ,,Acc:1|Ins:1|Nom:2,светлые,8
прогноз,NOUN,,Acc:3|Dat:1|Gen:1|Nom:3,прогнозу,8
готовить,VERB,Fin,,готовлюсь,8
держать,VERB,Fin,,держу,8
дешёвый,ADJ,,Acc:1|Dat:1|Ins:1|Nom:2,дешёвой,8
платье,NOUN,,Acc:2|Loc:3|Nom:3,платье,8
появление,NOUN,,Acc:1|Gen:4|Ins:1|Nom:2,появления,8
когда-то,ADV,,,когда-то,8
плита,NOUN,,Acc:1|Gen:3|Ins:1|Loc:2|Nom:1,плиты,8
объяснять,VERB,Inf,,объяснять,8
километр,NOUN,,Gen:8,километров,8
заниматься,VERB,Fin,,занимается,8
прежде,ADV,,,прежде,8
подготовка,NOUN,,Dat:1|Gen:3|Nom:4,подготовка,8
андрей,PROPN,,Acc:1|Ins:2|Nom:5,Андрей,8
отзыв,NOUN,,Acc:5|Gen:1|Nom:2,отзывов,8
квартал,NOUN,,Acc:2|Gen:3|Ins:2|Loc:1,кварталов,8
ноябрь,NOUN,,Gen:5|Loc:3,ноябре,8
замечать,VERB,Fin,,замечали,8
провести,VERB,Fin,,провёл,8
сверху,ADV,,,сверху,8
слышный,ADJ,,,слышно,8
четверг,NOUN,,Acc:5|Dat:3,четверг,8
уведомление,NOUN,,Acc:3|Gen:1|Nom:4,уведомления,8
операция,NOUN,,Acc:2|Gen:3|Loc:1|Nom:2,операциях,8
театральный,ADJ,,Acc:2|Gen:1|Ins:1|Loc:1|Nom:3,театральная,8
писать,VERB,Part,Loc:1|Nom:1,написаны,8
научить,VERB,Fin,,научил,8
открыть,VERB,Part,Gen:1|Loc:1|Nom:3,открыто,8
сделать,VERB,Fin,,сделала,8
переехать,VERB,Fin,,переехали,8
блин,NOUN,,Acc:2|Gen:1|Ins:2|Nom:3,блины,8
мука,NOUN,,Acc:4|Gen:2|Ins:1|Nom:1,муку,8
тонкий,ADJ,,Acc:1|Gen:1|Ins:1|Loc:1|Nom:4,тонкую,8
зимний,ADJ,,Acc:2|Gen:2|Loc:1|Nom:3,зимнего,8
новогодний,ADJ,,Acc:3|Dat:1|Gen:1|Ins:1|Loc:1|Nom:1,новогоднюю,8
нажать,VERB,Fin,,нажала,8
есть,VERB,Fin,,едят,8
взрослый,NOUN,,Dat:4|Gen:2|Ins:1|Nom:1,взрослым,8
опубликовать,VERB,Part,Dat:1|Nom:3,опубликованным,8
принять,VERB,Fin,,приняли,8
декабрь,NOUN,,Acc:1|Gen:4|Loc:3,декабря,8
американский,ADJ,,Acc:2|Gen:1|Ins:1|Loc:1|Nom:3,американский,8
ссср,PROPN,,Gen:4|Loc:2,СССР,8
серый,ADJ,,Acc:4|Gen:1|Nom:3,серое,8
берёза,NOUN,,Acc:1|Ins:1|Loc:2|Nom:4,берёзы,8
собрание,NOUN,,Gen:3|Nom:5,собрание,8
дедушка,NOUN,,Gen:2|Ins:1|Nom:5,дедушкой,8
ой,INTJ,,,Ой,8
птица,NOUN,,Gen:3|Nom:5,птиц,8
хоть,ADV,,,хоть,8
огурец,NOUN,,Acc:3|Gen:2|Ins:1|Nom:2,огурцы,8
ванная,NOUN,,Acc:3|Gen:1|Loc:2|Nom:1,ванную,7
рюкзак,NOUN,,Acc:1|Ins:3|Loc:2|Nom:1,рюкзак,7
предпочитать,VERB,Fin,,предпочитают,7
откладывать,VERB,Fin,,откладывает,7
создание,NOUN,,Acc:2|Dat:2|Gen:2|Nom:1,создание,7
независимость,NOUN,,Acc:4|Gen:2|Nom:1,независимость,7
изоляция,NOUN,,Acc:1|Dat:1|Gen:2|Loc:2|Nom:1,изоляции,7
просить,VERB,Inf,,попросить,7
сохранить,VERB,Fin,,сохранил,7
основание,NOUN,,Acc:1|Dat:2|Gen:1|Ins:1|Loc:2,основаниям,7
недостаток,NOUN,,Acc:1|Gen:1|Nom:5,недостаток,7
утверждать,VERB,Fin,,утверждают,7
дорожный,ADJ,,Gen:3|Loc:1|Nom:1,дорожно,7
усталость,NOUN,,Gen:3|Ins:1|Loc:1|Nom:2,усталости,7
скорость,NOUN,,Acc:3|Gen:1|Ins:1|Nom:2,скорости,7
владелец,NOUN,,Gen:3|Nom:4,владелец,7
вероятно,ADV,,,Вероятно,7
типичный,ADJ,,Acc:2|Ins:1|Nom:3,типичный,7
закрывать,VERB,Fin,,закрываю,7
согласиться,VERB,Fin,,согласились,7
сыр,NOUN,,Gen:4|Ins:1|Nom:2,сыра,7
сдача,NOUN,,Acc:5|Ins:2,сдачу,7
пятый,ADJ,,Acc:1|Gen:5|Loc:1,пятом,7
соседка,NOUN,,Acc:2|Gen:1|Nom:4,соседка,7
обидный,ADJ,,Nom:2,Обидно,7
градус,NOUN,,Gen:6|Loc:1,градусов,7
часы,NOUN,,Acc:2|Nom:5,часы,7
северный,ADJ,,Acc:1|Gen:3|Loc:2,северных,7
сухой,ADJ,,Acc:2|Gen:1|Nom:4,сухая,7
специалист,NOUN,,Acc:1|Dat:1|Gen:1|Ins:1|Nom:3,Специалисты,7
рекомендовать,VERB,Fin,,рекомендуют,7
поскольку,SCONJ,,,поскольку,7
мебель,NOUN,,Acc:4|Gen:2|Nom:1,мебель,7
стоять,VERB,Inf,,стоять,7
минус,NOUN,,Acc:2|Nom:5,минусы,7
ехать,VERB,Inf,,ехать,7
неравенство,NOUN,,Acc:1|Gen:3|Loc:1|Nom:2,неравенства,7
опасный,ADJ,,Acc:1|Gen:3|Ins:2,опасного,7
отражать,VERB,Fin,,отражает,7
столько,SCONJ,,,столько,7
сводиться,VERB,Fin,,сводятся,7
начальник,NOUN,,Ins:1|Nom:6,начальник,7
кабинет,NOUN,,Acc:4|Loc:2|Nom:1,кабинет,7
неловкий,ADJ,,Acc:1|Nom:1,неловкая,7
имущество,NOUN,,Acc:1|Dat:1|Gen:3|Nom:2,имущество,7
учёт,NOUN,,Acc:3|Ins:4,учётом,7
долг,NOUN,,Acc:3|Dat:1|Gen:2|Nom:1,долгам,7
долгосрочный,ADJ,,Acc:2|Loc:3|Nom:2,долгосрочное,7
приводить,VERB,Fin,,приводит,7
тепло,NOUN,,Acc:4|Gen:1|Nom:2,тепло,7
больший,ADJ,,Acc:1|Dat:1|Gen:1|Ins:1|Loc:2|Nom:1,большей,7
формироваться,VERB,Fin,,формируются,7
снижение,NOUN,,Acc:1|Gen:2|Ins:1|Nom:3,снижение,7
видео,NOUN,,Acc:1|Dat:1|Gen:3|Loc:1|Nom:1,видео,7
сбор,NOUN,,Acc:2|Gen:3|Nom:2,сборы,7
фон,NOUN,,Acc:1|Ins:2|Loc:4,фоне,7
экологический,ADJ,,Acc:1|Dat:1|Gen:1|Ins:2|Loc:1|Nom:1,экологических,7
невозможный,ADJ,,,невозможно,7
удачный,ADJ,,Gen:1|Ins:2|Loc:1|Nom:3,удачной,7
спустя,ADP,,,спустя,7
изначально,ADV,,,изначально,7
существование,NOUN,,Gen:4|Loc:1|Nom:2,существования,7
мужчина,NOUN,,Dat:1|Gen:3|Ins:1|Nom:2,мужчиной,7
приехать,VERB,Fin,,приехал,7
заодно,ADV,,,Заодно,7
стресс,NOUN,,Acc:2|Gen:1|Ins:2|Nom:2,Стресс,7
неожиданный,ADJ,,Acc:1|Nom:6,неожиданные,7
напряжение,NOUN,,Acc:1|Nom:6,напряжение,7
окружать,VERB,Part,Acc:1|Dat:2|Gen:1|Ins:1|Loc:1|Nom:1,окружающего,7
слышать,VERB,Fin,,слышим,7
поверхность,NOUN,,Dat:1|Gen:3|Loc:3,поверхности,7
различие,NOUN,,Gen:2|Nom:5,различий,7
всякий,DET,,Acc:2|Gen:5,всякий,7
трата,NOUN,,Acc:2|Gen:2|Ins:1|Nom:2,траты,7
ближайший,ADJ,,Acc:3|Gen:1|Loc:2|Nom:1,ближайшем,7
механизм,NOUN,,Acc:3|Gen:1|Nom:3,механизм,7
закат,NOUN,,Acc:2|Dat:1|Gen:1|Loc:3,закате,7
участие,NOUN,,Acc:2|Gen:3|Nom:2,участия,7
подача,NOUN,,Gen:5|Nom:2,подачи,7
продолжительность,NOUN,,Gen:3|Nom:4,продолжительность,7
обязанность,NOUN,,Acc:2|Gen:2|Ins:1|Loc:1|Nom:1,обязанности,7
выясниться,VERB,Fin,,выяснилось,7
подходить,VERB,Fin,,подходит,7
пароль,NOUN,,Acc:4|Gen:1|Nom:2,пароль,7
явно,ADV,,,явно,7
падать,VERB,Fin,,падает,7
угол,NOUN,,Acc:1|Gen:1|Loc:5,углу,7
влиять,VERB,Inf,,повлиять,7
пояс,NOUN,,Gen:4|Ins:1|Loc:2,поясов,7
полтора,NUM,,Acc:6|Nom:1,полтора,7
никакой,DET,,Gen:6|Nom:1,никакой,7
разобраться,VERB,Inf,,разобраться,7
заменить,VERB,Inf,,заменить,7
диван,NOUN,,Acc:3|Loc:1|Nom:3,диван,7
промышленный,ADJ,,Acc:3|Gen:1|Nom:3,Промышленная,7
великобритания,PROPN,,Gen:1|Loc:5|Nom:1,Великобритании,7
реформа,NOUN,,Acc:1|Gen:2|Loc:1|Nom:3,реформы,7
охрана,NOUN,,Acc:1|Gen:2|Ins:1|Loc:1|Nom:2,охраны,7
принадлежать,VERB,Fin,,принадлежит,7
глубокий,ADJ,,Gen:1|Ins:3|Nom:2,глубокое,7
наблюдение,NOUN,,Acc:1|Gen:3|Ins:1|Nom:2,наблюдения,7
лестница,NOUN,,Dat:6|Gen:1,лестнице,7
авторский,ADJ,,Dat:1|Gen:2|Ins:1|Loc:1|Nom:2,авторских,7
художник,NOUN,,Gen:3|Nom:4,художники,7
крик,NOUN,,Acc:1|Gen:2|Ins:3|Nom:1,криком,7
громко,ADV,,,громче,7
столетие,NOUN,,Acc:2|Gen:4|Nom:1,столетий,7
являться,VERB,Fin,,является,7
добавить,VERB,Fin,,добавили,7
привлекать,VERB,Fin,,привлекают,7
шаг,NOUN,,Acc:2|Gen:3|Loc:1|Nom:1,шагов,7
открывать,VERB,Fin,,открывает,7
внешний,ADJ,,Acc:2|Dat:2|Gen:2|Nom:1,внешнему,7
полоса,NOUN,,Acc:1|Gen:1|Ins:1|Loc:4,полосу,7
двое,NUM,,Acc:2|Gen:2|Nom:3,двоих,7
делить,VERB,Fin,,поделили,7
буква,NOUN,,Acc:1|Gen:4|Ins:1|Nom:1,буквы,7
последующий,ADJ,,Acc:4|Nom:3,последующие,7
красивый,ADJ,,Dat:1|Ins:1|Nom:3,красивая,7
медицинский,ADJ,,Acc:3|Gen:2|Ins:1|Nom:1,медицинскую,7
искать,VERB,Fin,,ищут,7
сесть,VERB,Fin,,сел,7
заново,ADV,,,заново,7
реагировать,VERB,Fin,,отреагировали,7
февраль,NOUN,,Gen:3|Loc:4,феврале,7
александр,PROPN,,Gen:4|Nom:3,Александр,7
стекло,NOUN,,Acc:1|Dat:1|Gen:2|Ins:1|Nom:2,стекло,7
знаменитый,ADJ,,Acc:3|Ins:3|Nom:1,знаменитым,7
воспринимать,VERB,Fin,,воспринимали,7
рассказ,NOUN,,Acc:2|Dat:1|Gen:2|Nom:2,рассказов,7
двадцатый,ADJ,,Acc:1|Gen:6,двадцатые,7
чистый,ADJ,,Dat:1|Ins:1|Loc:1|Nom:3,чистым,7
легенда,NOUN,,Ins:2|Loc:1|Nom:4,легенда,7
безопасный,ADJ,,Acc:2|Ins:1|Nom:1,безопасная,7
высоко,ADV,,,выше,7
малый,ADJ,,Dat:1|Gen:2|Ins:1,меньше,7
закрыть,VERB,Part,Ins:2,закрыты,7
горшок,NOUN,,Acc:4|Loc:3,горшки,7
официально,ADV,,,официально,7
версия,NOUN,,Acc:3|Dat:1|Nom:3,версии,7
платить,VERB,Fin,,платишь,7
порог,NOUN,,Acc:4|Gen:1|Loc:1|Nom:1,порог,7
оформить,VERB,Fin,,оформил,7
регулировать,VERB,Fin,,регулируются,7
тишина,NOUN,,Acc:1|Gen:1|Loc:1|Nom:4,тишина,7
строго,ADV,,,строго,7
серия,NOUN,,Acc:2|Ins:1|Loc:3|Nom:1,серии,7
отличаться,VERB,Fin,,отличается,7
валюта,NOUN,,Acc:1|Dat:1|Gen:3|Loc:2,валюты,7
доллар,NOUN,,Acc:2|Dat:1|Gen:4,доллару,7
верный,ADJ,,Acc:1|Gen:1|Ins:1,верно,7
спутник,NOUN,,Acc:2|Gen:4|Loc:1,спутников,7
показатель,NOUN,,Acc:3|Gen:3|Loc:1,показателях,7
торговый,ADJ,,Acc:1|Gen:2|Loc:1|Nom:3,торговые,7
передавать,VERB,Fin,,передавали,7
временный,ADJ,,Acc:4|Dat:1|Nom:2,временные,7
союз,NOUN,,Acc:1|Gen:1|Loc:2|Nom:3,союзы,7
далёкий,ADJ,,Acc:1|Dat:1|Gen:3|Ins:2,далёким,7
стыдно,ADV,,,стыдно,7
прежний,ADJ,,Acc:3|Dat:1|Gen:2|Loc:1,прежней,7
княжество,NOUN,,Gen:5|Loc:1|Nom:1,княжеств,7
чей,DET,,Gen:1|Nom:6,чьи,7
контакт,NOUN,,Gen:2|Ins:3|Loc:1|Nom:1,контактов,7
подтверждение,NOUN,,Acc:2|Gen:2|Nom:3,подтверждение,7
отправить,VERB,Fin,,отправили,7
народный,ADJ,,Gen:2|Nom:5,народной,7
свадьба,NOUN,,Acc:2|Loc:1|Nom:4,свадьбах,7
строительство,NOUN,,Acc:1|Dat:1|Gen:1|Loc:1|Nom:3,строительству,7
уточнить,VERB,Fin,,уточнили,7
уверенный,ADJ,,Acc:1|Ins:1,уверенные,7
думать,VERB,Inf,,думать,7
совет,NOUN,,Acc:3|Gen:3|Nom:1,совет,7
ссылка,NOUN,,Acc:3|Dat:2|Gen:1|Nom:1,ссылки,7
статья,NOUN,,Acc:3|Ins:1|Loc:1|Nom:2,статьи,7
зарядка,NOUN,,Acc:4|Dat:1|Gen:1|Nom:1,зарядки,7
детектив,NOUN,,Acc:2|Loc:1|Nom:4,детективы,7
еле,PART,,,еле,7
знание,NOUN,,Acc:2|Gen:4|Nom:1,знания,7
пообещать,VERB,Fin,,пообещал,7
предупредить,VERB,Fin,,предупредила,7
преимущество,NOUN,,Acc:3|Gen:1|Nom:3,преимущества,7
кнопка,NOUN,,Acc:4|Gen:2|Ins:1,кнопок,7
сравнивать,VERB,Inf,,сравнивать,7
кофейня,NOUN,,Acc:4|Gen:1|Loc:1|Nom:1,кофейню,7
самостоятельно,ADV,,,самостоятельно,7
различать,VERB,Inf,,различать,7
чемодан,NOUN,,Acc:2|Ins:2|Nom:3,чемодан,7
экскурсия,NOUN,,Acc:5|Gen:1|Nom:1,экскурсию,7
собеседование,NOUN,,Gen:3|Loc:2|Nom:2,Собеседование,7
работодатель,NOUN,,Acc:1|Dat:1|Gen:3|Nom:2,работодателю,7
банковский,ADJ,,Acc:1|Dat:1|Gen:2|Nom:3,Банковский,7
видный,ADJ,,,видна,7
ловить,VERB,Fin,,ловлю,7
катя,PROPN,,Dat:1|Gen:2|Ins:1|Nom:3,Кате,7
статус,NOUN,,Acc:2|Gen:1|Loc:1|Nom:3,статуса,7
воскресенье,NOUN,,Acc:6|Ins:1,воскресеньем,7
мороз,NOUN,,Acc:4|Nom:3,морозы,7
хозяйка,NOUN,,Acc:1|Dat:1|Gen:1|Nom:4,хозяйки,7
странный,ADJ,,Acc:1|Ins:2|Nom:2,странное,7
дарить,VERB,Fin,,подарила,7
картошка,NOUN,,Gen:2|Ins:3|Nom:2,картошка,7
осторожно,ADV,,,осторожно,7
журнал,NOUN,,Acc:2|Gen:1|Loc:1|Nom:3,журнал,7
октябрь,NOUN,,Gen:5|Loc:1|Nom:1,октября,7
поставщик,NOUN,,Gen:3|Ins:2|Nom:2,поставщиком,7
таблица,NOUN,,Acc:4|Ins:1|Loc:2,таблицу,7
школьник,NOUN,,Dat:1|Gen:3|Nom:3,школьников,7
прохладный,ADJ,,Ins:4|Nom:2,прохладный,7
мягкий,ADJ,,Acc:2|Gen:1|Ins:2|Nom:2,мягкой,7
заголовок,NOUN,,Acc:1|Gen:2|Ins:1|Nom:3,заголовка,7
прибор,NOUN,,Acc:4|Ins:1|Loc:1|Nom:1,приборы,7
электрический,ADJ,,Acc:1|Gen:2|Nom:4,электрического,7
подросток,NOUN,,Dat:1|Gen:4|Ins:1|Nom:1,подростков,7
петровна,PROPN,,Acc:2|Nom:5,Петровна,7
учительница,NOUN,,Acc:2|Gen:1|Nom:4,учительница,7
твой,DET,,Acc:2|Gen:1|Loc:1|Nom:3,твой,7
землетрясение,NOUN,,Acc:1|Gen:2|Nom:4,землетрясение,7
справа,ADV,,,Справа,7
иностранец,NOUN,,Dat:2|Gen:4|Nom:1,иностранец,7
вставать,VERB,Fin,,встаю,6
весёлый,ADJ,,Nom:1,весело,6
лифт,NOUN,,Gen:1|Ins:2|Loc:2|Nom:1,лифте,6
утренний,ADJ,,Acc:1|Gen:1|Ins:2|Nom:2,утреннюю,6
расти,VERB,Part,Acc:2|Gen:2|Nom:2,растущее,6
отказ,NOUN,,Acc:2|Gen:1|Ins:1|Nom:2,отказом,6
потребитель,NOUN,,Gen:5|Nom:1,потребитель,6
ярлык,NOUN,,Acc:3|Gen:1|Nom:2,ярлыки,6
чек,NOUN,,Acc:5|Nom:1,Чек,6
обмен,NOUN,,Dat:3|Gen:3,обмена,6
возврат,NOUN,,Gen:5|Nom:1,возврата,6
скептик,NOUN,,Nom:6,скептики,6
юридический,ADJ,,Acc:1|Gen:3|Ins:1|Nom:1,юридические,6
племянник,NOUN,,Gen:2|Ins:1|Nom:3,племянник,6
торт,NOUN,,Acc:3|Ins:1|Loc:1|Nom:1,торте,6
итоговый,ADJ,,Acc:2|Loc:1|Nom:3,итоговую,6
строка,NOUN,,Acc:1|Gen:3|Ins:1|Nom:1,строкой,6
математика,NOUN,,Dat:2|Nom:4,математике,6
семестр,NOUN,,Acc:1|Gen:2|Loc:2|Nom:1,семестре,6
подняться,VERB,Fin,,поднимется,6
плюс,ADP,,,плюс,6
вечерний,ADJ,,Acc:4|Dat:1|Nom:1,вечерние,6
юг,NOUN,,Acc:1|Loc:5,юге,6
планировать,VERB,Part,Dat:1|Gen:2|Nom:1,планирующим,6
желание,NOUN,,Gen:3|Ins:1|Nom:2,желания,6
потребление,NOUN,,Dat:2|Gen:3|Nom:1,потреблению,6
лишний,ADJ,,Acc:2|Gen:3|Ins:1,лишних,6
эффективный,ADJ,,Ins:1,эффективнее,6
во-первых,ADV,,,Во-первых,6
вечно,ADV,,,вечно,6
спортзал,NOUN,,Acc:5|Loc:1,спортзал,6
парковка,NOUN,,Acc:1|Gen:1|Loc:1|Nom:3,парковке,6
отчасти,ADV,,,отчасти,6
кризис,NOUN,,Gen:3|Ins:1|Loc:1|Nom:1,кризисами,6
удивление,NOUN,,Acc:5|Gen:1,удивление,6
стабильный,ADJ,,Acc:1|Gen:1|Ins:2|Nom:1,стабильное,6
руководитель,NOUN,,Gen:1|Nom:5,руководителя,6
снять,VERB,Fin,,Сняли,6
стоимость,NOUN,,Acc:3|Gen:2|Nom:1,стоимости,6
планета,NOUN,,Acc:1|Gen:4|Loc:1,планете,6
атмосфера,NOUN,,Gen:1|Loc:3|Nom:2,атмосфере,6
сезонный,ADJ,,Acc:2|Gen:1|Ins:2|Nom:1,сезонных,6
окружение,NOUN,,Acc:1|Gen:1|Loc:2|Nom:2,Окружение,6
спрашивать,VERB,Inf,,спрашивать,6
выгодный,ADJ,,Dat:1,выгодно,6
называть,VERB,Part,Acc:1|Gen:3|Nom:2,называемых,6
мышление,NOUN,,Gen:3|Nom:3,мышление,6
цифровой,ADJ,,Acc:1|Gen:3|Loc:1|Nom:1,цифровая,6
надеяться,VERB,Fin,,Надеюсь,6
сутки,NOUN,,Acc:4|Gen:2,сутки,6
мозг,NOUN,,Gen:3|Loc:1|Nom:2,Мозг,6
организм,NOUN,,Gen:4|Ins:1|Nom:1,организмом,6
ломаться,VERB,Fin,,ломаются,6
мусор,NOUN,,Acc:3|Gen:3,мусора,6
ресурс,NOUN,,Acc:1|Dat:1|Gen:2|Ins:2,ресурсов,6
след,NOUN,,Acc:3|Gen:2|Loc:1,следе,6
выбирать,VERB,Inf,,выбирать,6
философский,ADJ,,Acc:3|Gen:1|Ins:1|Nom:1,философские,6
провести,VERB,Inf,,провести,6
летний,ADJ,,Acc:1|Gen:1|Ins:1|Nom:3,Летние,6
олимпийский,ADJ,,Acc:2|Nom:4,Олимпийские,6
организатор,NOUN,,Gen:1|Nom:5,организаторы,6
забывать,VERB,Fin,,забывается,6
узкий,ADJ,,Acc:1|Gen:1|Ins:1|Loc:1|Nom:2,узкое,6
глубоко,ADV,,,глубоко,6
очевидный,ADJ,,Nom:2,очевидно,6
исследователь,NOUN,,Gen:1|Nom:5,Исследователи,6
самочувствие,NOUN,,Acc:3|Dat:1|Gen:1|Loc:1,самочувствие,6
режим,NOUN,,Gen:1|Loc:3|Nom:2,режим,6
обсудить,VERB,Inf,,обсудить,6
виртуальный,ADJ,,Acc:2|Gen:2|Loc:1|Nom:1,виртуальной,6
фонд,NOUN,,Acc:1|Gen:3|Nom:2,фонды,6
самостоятельный,ADJ,,Acc:1|Ins:3|Loc:1|Nom:1,самостоятельной,6
рамка,NOUN,,Acc:5|Loc:1,рамки,6
поставить,VERB,Fin,,Поставил,6
оранжевый,ADJ,,Acc:1|Gen:1|Ins:2|Nom:1,оранжевый,6
удалённый,ADJ,,Acc:2|Gen:2|Ins:1|Nom:1,удалённой,6
подготовить,VERB,Inf,,подготовить,6
заявка,NOUN,,Acc:4|Gen:2,заявок,6
неудача,NOUN,,Acc:2|Gen:2|Ins:1|Nom:1,неудачу,6
подписание,NOUN,,Gen:2|Ins:4,подписанием,6
то,PART,,,то,6
мгновенно,ADV,,,мгновенно,6
коридор,NOUN,,Dat:1|Loc:4|Nom:1,коридорах,6
будущий,ADJ,,Gen:2|Ins:2|Loc:1|Nom:1,будущими,6
вроде,ADV,,,вроде,6
добавлять,VERB,Fin,,добавляет,6
помидор,NOUN,,Gen:1|Ins:1|Nom:4,помидоры,6
оставлять,VERB,Inf,,оставлять,6
нос,NOUN,,Acc:1|Gen:1|Ins:1|Loc:1|Nom:2,носом,6
толком,ADV,,,толком,6
индустрия,NOUN,,Acc:3|Gen:1|Nom:2,индустрии,6
обращаться,VERB,Inf,,обращаться,6
революция,NOUN,,Gen:3|Ins:1|Nom:2,революция,6
местность,NOUN,,Acc:1|Gen:3|Loc:2,местности,6
этап,NOUN,,Acc:1|Dat:1|Ins:3|Nom:1,этапом,6
длина,NOUN,,Acc:1|Dat:1|Gen:1|Nom:3,длину,6
байкал,PROPN,,Acc:1|Loc:1|Nom:4,Байкал,6
пересмотреть,VERB,Inf,,пересмотреть,6
воля,NOUN,,Acc:1|Gen:5,воли,6
гудеть,VERB,Fin,,гудит,6
шарф,NOUN,,Acc:1|Loc:1|Nom:4,шарфах,6
трибуна,NOUN,,Dat:1|Ins:1|Loc:1|Nom:3,трибуны,6
ворота,NOUN,,Acc:2|Dat:1|Gen:2|Ins:1,воротами,6
задавать,VERB,Fin,,задаёт,6
философия,NOUN,,Gen:1|Loc:1|Nom:4,философии,6
рассматривать,VERB,Fin,,рассматривается,6
автоматически,ADV,,,автоматически,6
сигнал,NOUN,,Acc:2|Gen:1|Ins:1|Nom:2,Сигналом,6
